id,new,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
45,0,0,0,1,https://ras.lib.dali.edu.cn,ras.lib.dali.edu.cn,2,ras.lib.dali.edu.cn,202.203.31.248,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='ras.lib.dali.edu.cn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8ed46171d0>: Failed to establish a new connection: [Errno 111] Connection refused'))""),)",,,202.203.24.0/21,AS4538,China Education and Research Network Center,中国云南省大理,教育网,QianXunQuery
46,0,1,1,1,http://ras.lib.dali.edu.cn,ras.lib.dali.edu.cn,2,ras.lib.dali.edu.cn,202.203.31.248,1,0,80,200,OK,大理大学远程访问系统,"Apache/2.0.61 (Unix) PHP/4.3.11,PHP/4.3.11",202.203.24.0/21,AS4538,China Education and Research Network Center,中国云南省大理,教育网,QianXunQuery
47,0,0,0,1,http://uss.dali.edu.cn,uss.dali.edu.cn,1,uss.dali.edu.cn,202.203.16.78,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='uss.dali.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f8ed467e4a8>, 'Connection to uss.dali.edu.cn timed out. (connect timeout=3.05)'))""),)",,,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,QianXunQuery
48,0,0,0,1,https://uss.dali.edu.cn,uss.dali.edu.cn,1,uss.dali.edu.cn,202.203.16.78,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='uss.dali.edu.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f8ed4590c18>, 'Connection to uss.dali.edu.cn timed out. (connect timeout=3.05)'))""),)",,,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,QianXunQuery
49,0,1,1,1,http://vpn.dali.edu.cn,vpn.dali.edu.cn,1,vpn.dali.edu.cn,202.203.17.105,1,1,80,200,OK,'\n\n\n\n\n\n\n\n\r\nYour browser does not support JavaScript (or it is blocked). Please check your browser settings and make sure it supports JavaScript.\r\n\n\n\n\n\n',Server,202.203.17.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,IP138Query
50,0,1,1,1,https://vpn.dali.edu.cn,vpn.dali.edu.cn,1,vpn.dali.edu.cn,202.203.17.105,1,1,443,200,OK,'\n\n\n\n\n\n\n\n\r\nYour browser does not support JavaScript (or it is blocked). Please check your browser settings and make sure it supports JavaScript.\r\n\n\n\n\n\n',Server,202.203.17.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,IP138Query
51,0,0,0,1,https://vpn.lib.dali.edu.cn,vpn.lib.dali.edu.cn,2,vpn.lib.dali.edu.cn,202.203.31.254,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='vpn.lib.dali.edu.cn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8ed4641cc0>: Failed to establish a new connection: [Errno 111] Connection refused'))""),)",,,202.203.24.0/21,AS4538,China Education and Research Network Center,中国云南省大理,教育网,QianXunQuery
52,0,1,1,1,http://vpn.lib.dali.edu.cn,vpn.lib.dali.edu.cn,2,vpn.lib.dali.edu.cn,202.203.31.254,1,0,80,200,OK,'',Apache/2.4.10 (Win32) OpenSSL/0.9.8zb PHP/5.3.29,202.203.24.0/21,AS4538,China Education and Research Network Center,中国云南省大理,教育网,QianXunQuery
53,0,0,0,1,https://web.lib.dali.edu.cn,web.lib.dali.edu.cn,2,web.lib.dali.edu.cn,202.203.31.254,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='web.lib.dali.edu.cn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8ed4696978>: Failed to establish a new connection: [Errno 111] Connection refused'))""),)",,,202.203.24.0/21,AS4538,China Education and Research Network Center,中国云南省大理,教育网,QianXunQuery
54,0,1,1,1,http://web.lib.dali.edu.cn,web.lib.dali.edu.cn,2,web.lib.dali.edu.cn,202.203.31.254,1,0,80,200,OK,'',Apache/2.4.10 (Win32) OpenSSL/0.9.8zb PHP/5.3.29,202.203.24.0/21,AS4538,China Education and Research Network Center,中国云南省大理,教育网,QianXunQuery
